TicketID,Status,Created_At,Region_Cluster,Item_Code,Type_Of_Tickets
NHC-NUP-582739,opened,2024-03-13 16:10,Makkah Health Cluster,547071710,Expediting - NUPCO Care
NHC-NUP-582165,opened,2024-03-13 15:40,Asir Health Affairs,126200407,Expediting - NUPCO Care
NHC-NUP-582120,opened,2024-03-13 15:36,Asir Health Affairs,126200409,Expediting - NUPCO Care
NHC-NUP-582085,opened,2024-03-13 15:32,Asir Health Affairs,126200411,Expediting - NUPCO Care
NHC-NUP-582042,opened,2024-03-13 15:28,Asir Health Affairs,126200403,Expediting - NUPCO Care
NHC-NUP-581256,opened,2024-03-13 14:39,Madinah Health Cluster,133200713,Expediting - NUPCO Care
NHC-NUP-580843,opened,2024-03-13 14:22,Jeddah First Health Cluster,550063721,Expediting - NUPCO Care
NHC-NUP-580842,opened,2024-03-13 14:14,Jazan Health Cluster,788090110,Expediting - NUPCO Care
NHC-NUP-580825,opened,2024-03-13 13:33,Jeddah First Health Cluster,545071960,Expediting - NUPCO Care
NHC-NUP-580815,opened,2024-03-13 13:20,Jeddah First Health Cluster,549072620,Expediting - NUPCO Care
NHC-NUP-580791,opened,2024-03-13 12:57,Jeddah Health Affairs,545071960,Expediting - NUPCO Care
NHC-NUP-580771,opened,2024-03-13 12:39,Jazan Health Cluster,789020012,Expediting - NUPCO Care
NHC-NUP-580770,opened,2024-03-13 12:34,Asir Health Affairs,144000011,Out of stock
NHC-NUP-580767,opened,2024-03-13 12:24,Hail Health Cluster,548014285,Expediting - NUPCO Care
NHC-NUP-580765,opened,2024-03-13 12:23,Hail Health Cluster,548014280,Expediting - NUPCO Care
NHC-NUP-580758,opened,2024-03-13 12:16,Jazan Health Cluster,790030401,Expediting - NUPCO Care
NHC-NUP-580743,opened,2024-03-13 12:05,Hail Health Cluster,137200322,Expediting - NUPCO Care
NHC-NUP-580739,opened,2024-03-13 12:02,Hail Health Cluster,129990519,Expediting - NUPCO Care
NHC-NUP-580738,opened,2024-03-13 12:00,Hail Health Cluster,137200338,Expediting - NUPCO Care
NHC-NUP-580737,opened,2024-03-13 11:59,Hail Health Cluster,137200337,Expediting - NUPCO Care
NHC-NUP-580735,opened,2024-03-13 11:58,Hail Health Cluster,133990262,Expediting - NUPCO Care
NHC-NUP-580733,opened,2024-03-13 11:57,Hail Health Cluster,789030382,Expediting - NUPCO Care
NHC-NUP-580698,opened,2024-03-13 11:23,Najran Health Cluster,547011025,Expediting - NUPCO Care
NHC-NUP-580691,opened,2024-03-13 11:16,Najran Health Cluster,541054402,Expediting - NUPCO Care
NHC-NUP-580688,opened,2024-03-13 11:14,Al Ahsa Health Cluster,138300186,Active Contracts
NHC-NUP-580669,opened,2024-03-13 11:01,Najran Health Cluster,995801005,Expediting - NUPCO Care
NHC-NUP-580658,opened,2024-03-13 10:51,Najran Health Affairs,995801012,Expediting - NUPCO Care
NHC-NUP-580607,opened,2024-03-13 10:14,Asir Health Affairs,551064440,Expediting - NUPCO Care
NHC-NUP-580419,opened,2024-03-12 17:08,Riyadh First Health Cluster,126750125,Out of stock
NHC-NUP-580418,opened,2024-03-12 17:08,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580417,opened,2024-03-12 17:08,Riyadh First Health Cluster,551064440,Out of stock
NHC-NUP-580416,opened,2024-03-12 17:08,Riyadh Third Health Cluster,126651240,Out of stock
NHC-NUP-580415,opened,2024-03-12 17:07,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580414,opened,2024-03-12 17:07,Riyadh Second Health Cluster,126650098,Out of stock
NHC-NUP-580413,opened,2024-03-12 17:07,Riyadh Second Health Cluster,126750126,Out of stock
NHC-NUP-580412,opened,2024-03-12 17:07,Riyadh First Health Cluster,126650036,Out of stock
NHC-NUP-580411,opened,2024-03-12 17:07,Riyadh First Health Cluster,126750126,Out of stock
NHC-NUP-580410,opened,2024-03-12 17:07,Riyadh Second Health Cluster,126750126,Out of stock
NHC-NUP-580409,opened,2024-03-12 17:07,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580408,opened,2024-03-12 17:07,Riyadh Third Health Cluster,126750126,Out of stock
NHC-NUP-580407,opened,2024-03-12 17:06,Riyadh Second Health Cluster,128220160,Out of stock
NHC-NUP-580406,opened,2024-03-12 17:06,Riyadh First Health Cluster,137230215,Out of stock
NHC-NUP-580405,opened,2024-03-12 17:06,Riyadh Second Health Cluster,126750126,Out of stock
NHC-NUP-580404,opened,2024-03-12 17:06,Riyadh Second Health Cluster,126680078,Out of stock
NHC-NUP-580403,opened,2024-03-12 17:06,Riyadh First Health Cluster,126500081,Out of stock
NHC-NUP-580402,opened,2024-03-12 17:06,Riyadh First Health Cluster,128220162,Out of stock
NHC-NUP-580401,opened,2024-03-12 17:06,Riyadh Second Health Cluster,126650098,Out of stock
NHC-NUP-580400,opened,2024-03-12 17:06,Riyadh First Health Cluster,126680066,Out of stock
NHC-NUP-580399,opened,2024-03-12 17:06,Riyadh Second Health Cluster,126720092,Out of stock
